company,date,% of capital
"ALTRI, S.G.P.S., S.A.",2023-04-21,2.37
"ALTRI, S.G.P.S., S.A.",2023-04-20,2.4
"ALTRI, S.G.P.S., S.A.",2023-04-13,2.5
"ALTRI, S.G.P.S., S.A.",2023-04-12,2.48
"ALTRI, S.G.P.S., S.A.",2023-04-06,2.51
"ALTRI, S.G.P.S., S.A.",2023-04-03,2.66
"ALTRI, S.G.P.S., S.A.",2023-03-31,2.58
"ALTRI, S.G.P.S., S.A.",2023-03-27,2.45
"ALTRI, S.G.P.S., S.A.",2023-03-21,2.46
"ALTRI, S.G.P.S., S.A.",2023-03-17,2.38
"ALTRI, S.G.P.S., S.A.",2023-03-15,2.09
"ALTRI, S.G.P.S., S.A.",2023-02-28,2.31
"ALTRI, S.G.P.S., S.A.",2023-02-22,2.46
"ALTRI, S.G.P.S., S.A.",2023-02-20,2.45
"ALTRI, S.G.P.S., S.A.",2023-02-15,2.47
"ALTRI, S.G.P.S., S.A.",2023-02-14,2.44
"ALTRI, S.G.P.S., S.A.",2023-02-10,2.47
"ALTRI, S.G.P.S., S.A.",2023-02-07,2.45
"ALTRI, S.G.P.S., S.A.",2023-02-06,2.53
"ALTRI, S.G.P.S., S.A.",2023-02-02,2.58
"ALTRI, S.G.P.S., S.A.",2023-01-27,2.64
"ALTRI, S.G.P.S., S.A.",2023-01-26,3.11
"ALTRI, S.G.P.S., S.A.",2023-01-25,3.13
"ALTRI, S.G.P.S., S.A.",2023-01-24,2.63
"ALTRI, S.G.P.S., S.A.",2023-01-20,2.52
"ALTRI, S.G.P.S., S.A.",2023-01-19,3.01
"ALTRI, S.G.P.S., S.A.",2023-01-18,2.96
"ALTRI, S.G.P.S., S.A.",2023-01-12,2.94
"ALTRI, S.G.P.S., S.A.",2023-01-06,2.98
"ALTRI, S.G.P.S., S.A.",2023-01-04,2.91
"ALTRI, S.G.P.S., S.A.",2022-12-30,2.38
"ALTRI, S.G.P.S., S.A.",2022-12-23,2.87
"ALTRI, S.G.P.S., S.A.",2022-12-21,2.96
"ALTRI, S.G.P.S., S.A.",2022-12-13,2.4
"ALTRI, S.G.P.S., S.A.",2022-12-09,2.31
"ALTRI, S.G.P.S., S.A.",2022-12-07,2.22
"ALTRI, S.G.P.S., S.A.",2022-12-02,1.82
"ALTRI, S.G.P.S., S.A.",2022-11-25,1.69
"ALTRI, S.G.P.S., S.A.",2022-11-24,1.57
"ALTRI, S.G.P.S., S.A.",2022-11-23,1.51
"ALTRI, S.G.P.S., S.A.",2022-11-22,1.44
"ALTRI, S.G.P.S., S.A.",2022-11-21,1.32
"ALTRI, S.G.P.S., S.A.",2022-11-18,1.1
"ALTRI, S.G.P.S., S.A.",2022-11-17,1.02
"ALTRI, S.G.P.S., S.A.",2022-11-15,1.08
"ALTRI, S.G.P.S., S.A.",2022-11-09,1.18
"ALTRI, S.G.P.S., S.A.",2022-11-03,1.2
"ALTRI, S.G.P.S., S.A.",2022-11-02,1.18
"ALTRI, S.G.P.S., S.A.",2022-11-01,1.27
"ALTRI, S.G.P.S., S.A.",2022-10-26,1.3
"ALTRI, S.G.P.S., S.A.",2022-10-19,1.19
"ALTRI, S.G.P.S., S.A.",2022-10-18,1.15
"ALTRI, S.G.P.S., S.A.",2022-10-17,1.17
"ALTRI, S.G.P.S., S.A.",2022-10-03,1.27
"ALTRI, S.G.P.S., S.A.",2022-09-30,1.26
"ALTRI, S.G.P.S., S.A.",2022-09-27,1.36
"ALTRI, S.G.P.S., S.A.",2022-09-26,1.39
"ALTRI, S.G.P.S., S.A.",2022-09-21,1.38
"ALTRI, S.G.P.S., S.A.",2022-09-19,1.39
"ALTRI, S.G.P.S., S.A.",2022-09-16,1.3
"ALTRI, S.G.P.S., S.A.",2022-09-15,1.31
"ALTRI, S.G.P.S., S.A.",2022-08-25,1.29
"ALTRI, S.G.P.S., S.A.",2022-08-22,1.2
"ALTRI, S.G.P.S., S.A.",2022-08-16,0.68
"ALTRI, S.G.P.S., S.A.",2022-08-05,0.77
"ALTRI, S.G.P.S., S.A.",2022-08-01,0.83
"ALTRI, S.G.P.S., S.A.",2022-07-29,0.51
"ALTRI, S.G.P.S., S.A.",2020-04-01,0.45
"ALTRI, S.G.P.S., S.A.",2020-03-25,0.52
"ALTRI, S.G.P.S., S.A.",2020-03-20,0.45
"ALTRI, S.G.P.S., S.A.",2020-03-03,0.5
"Banco Comercial Português, SA",2017-01-18,3.36
"Banco Comercial Português, SA",2017-01-13,3.63
"Banco Comercial Português, SA",2016-10-25,4.34
"Banco Comercial Português, SA",2016-10-20,4.63
"Banco Comercial Português, SA",2016-10-19,4.84
"Banco Comercial Português, SA",2016-10-18,4.95
"Banco Comercial Português, SA",2016-10-13,5.04
"Banco Comercial Português, SA",2016-10-12,4.91
"Banco Comercial Português, SA",2016-09-19,4.82
"Banco Comercial Português, SA",2016-09-16,4.85
"Banco Comercial Português, SA",2016-09-14,4.35
"Banco Comercial Português, SA",2016-09-13,4.27
"Banco Comercial Português, SA",2016-09-01,4.17
"Banco Comercial Português, SA",2016-08-30,3.64
"Banco Comercial Português, SA",2016-08-25,4.12
"Banco Comercial Português, SA",2016-08-01,4.27
"Banco Comercial Português, SA",2016-07-27,4.42
"Banco Comercial Português, SA",2016-07-08,4.38
"Banco Comercial Português, SA",2016-06-29,4.43
"Banco Comercial Português, SA",2016-06-24,4.55
"Banco Comercial Português, SA",2016-06-21,4.31
"Banco Comercial Português, SA",2016-06-17,4.78
"Banco Comercial Português, SA",2016-06-16,4.7
"Banco Comercial Português, SA",2016-06-15,4.67
"Banco Comercial Português, SA",2016-06-14,4.55
"Banco Comercial Português, SA",2016-05-31,4.48
"Banco Comercial Português, SA",2016-05-30,5.16
"Banco Comercial Português, SA",2016-05-26,4.65
"Banco Comercial Português, SA",2016-05-24,4.56
"Banco Comercial Português, SA",2016-05-20,4.79
"Banco Comercial Português, SA",2016-05-18,5.28
"Banco Comercial Português, SA",2016-05-12,5.31
"Banco Comercial Português, SA",2016-05-10,5.28
"Banco Comercial Português, SA",2016-05-09,5.31
"Banco Comercial Português, SA",2016-05-06,5.35
"Banco Comercial Português, SA",2016-04-28,5.43
"Banco Comercial Português, SA",2016-04-22,5.41
"Banco Comercial Português, SA",2016-04-20,4.79
"Banco Comercial Português, SA",2016-04-18,4.89
"Banco Comercial Português, SA",2016-04-14,5.37
"Banco Comercial Português, SA",2016-04-13,5.38
"Banco Comercial Português, SA",2016-04-07,5.48
"Banco Comercial Português, SA",2016-04-06,5.25
"Banco Comercial Português, SA",2016-04-05,5.17
"Banco Comercial Português, SA",2016-04-04,5.05
"Banco Comercial Português, SA",2016-04-01,5.15
"Banco Comercial Português, SA",2016-03-22,5.06
"Banco Comercial Português, SA",2016-03-21,5.04
"Banco Comercial Português, SA",2016-03-18,4.97
"Banco Comercial Português, SA",2016-03-16,4.94
"Banco Comercial Português, SA",2016-03-15,4.85
"Banco Comercial Português, SA",2016-03-14,4.93
"Banco Comercial Português, SA",2016-03-11,5.71
